,0,ID,Mileage,Age,Drive-City,Drive-Highway,Drive-Rural,First New,Gender,Income,Education,Conquest,Consumer Reports,Knowledgeable,Fuel Grade,Grade,Marital Status_Divorced/Widowed/Separated,Marital Status_Living With Sig Oth/Dom Prtnr,Marital Status_Married,Marital Status_Single/Not Married
152,1,36779,1,41,1,1,0,0,1,5,3,1,0,0,1,3,1.0,0.0,0.0,0.0
153,4,16380,1,63,1,0,0,0,1,3,4,1,0,0,1,3,0.0,0.0,1.0,0.0
154,0,14562,1,59,1,0,0,0,0,2,4,0,0,0,1,3,0.0,0.0,1.0,0.0
155,5,41110,2,51,1,1,0,0,0,5,5,1,0,0,1,3,1.0,0.0,0.0,0.0
156,1,41505,2,41,1,0,0,0,1,3,1,0,0,0,1,1,1.0,0.0,0.0,0.0
157,4,38061,1,60,0,0,1,0,0,3,3,1,0,0,1,3,0.0,0.0,1.0,0.0
158,4,16078,1,65,0,0,1,0,1,3,2,0,0,0,1,3,1.0,0.0,0.0,0.0
159,5,36730,1,52,1,0,0,0,0,4,3,1,0,0,1,1,0.0,0.0,1.0,0.0
160,6,36083,1,70,1,1,0,0,0,4,4,0,0,0,1,3,0.0,0.0,1.0,0.0
161,4,39413,1,65,1,0,0,1,0,4,3,1,0,1,3,3,0.0,0.0,1.0,0.0
162,4,13952,1,65,1,0,0,0,0,3,1,0,0,0,1,2,0.0,0.0,0.0,1.0
163,7,52102,2,34,0,1,0,1,0,5,4,1,0,0,1,1,0.0,1.0,0.0,0.0
164,5,40794,2,50,0,1,1,0,0,2,2,1,0,1,1,2,0.0,0.0,0.0,1.0
165,1,58440,1,46,1,0,0,0,1,3,5,0,0,1,1,2,0.0,0.0,1.0,0.0
166,4,34377,2,65,1,0,0,0,0,5,5,1,0,0,1,1,0.0,0.0,1.0,0.0
167,7,48604,2,38,1,0,1,0,1,3,3,0,0,0,1,2,1.0,0.0,0.0,0.0
168,5,17585,1,52,1,0,0,0,0,2,2,1,0,0,1,3,0.0,0.0,1.0,0.0
169,0,38795,1,54,1,0,0,0,0,4,3,1,0,0,1,1,0.0,0.0,1.0,0.0
170,2,17477,1,76,1,0,0,0,0,5,9,1,0,0,1,2,0.0,0.0,1.0,0.0
171,3,36519,1,29,1,0,0,0,0,3,3,0,0,0,2,1,0.0,0.0,0.0,1.0
172,2,38085,1,80,1,0,0,0,0,4,3,1,0,0,1,2,0.0,0.0,1.0,0.0
173,3,49030,2,30,1,0,0,1,1,5,3,1,0,0,1,2,0.0,1.0,0.0,0.0
174,7,9004,2,35,1,1,0,1,1,4,3,0,0,0,1,3,0.0,1.0,0.0,0.0
175,6,31178,2,72,0,0,1,0,0,5,5,0,0,0,1,3,0.0,0.0,0.0,1.0
176,1,40309,2,40,1,1,0,1,1,5,3,1,0,0,1,1,1.0,0.0,0.0,0.0
177,0,12459,2,58,1,0,0,0,1,4,6,1,1,0,3,3,0.0,0.0,1.0,0.0
178,3,765,3,29,0,1,0,0,1,5,4,1,0,0,2,2,0.0,0.0,0.0,1.0
179,2,14492,1,76,1,0,0,0,0,2,2,0,0,0,1,3,0.0,0.0,1.0,0.0
180,1,8085,2,41,0,1,1,0,0,4,3,1,0,0,1,2,0.0,0.0,1.0,0.0
181,5,53974,2,50,1,0,0,1,0,2,1,1,0,0,1,3,0.0,0.0,0.0,1.0
182,4,37163,1,63,0,0,1,0,1,5,3,0,0,0,1,3,1.0,0.0,0.0,0.0
183,4,44588,2,64,0,1,0,0,0,5,5,0,0,0,1,1,0.0,0.0,1.0,0.0
184,5,27865,2,47,1,0,0,0,0,4,3,0,0,0,1,1,1.0,0.0,0.0,0.0
185,1,28450,2,42,1,1,0,0,0,5,4,0,0,0,1,2,0.0,0.0,1.0,0.0
186,7,22725,2,37,0,0,1,0,0,3,3,1,0,0,1,2,0.0,0.0,1.0,0.0
187,4,799,3,63,1,1,0,0,0,3,4,1,1,0,1,2,0.0,0.0,1.0,0.0
188,0,8179,2,56,0,0,1,0,1,4,5,0,0,1,2,1,0.0,0.0,1.0,0.0
189,4,12399,2,61,0,0,1,0,0,5,5,0,0,0,2,3,0.0,0.0,1.0,0.0
190,4,59603,2,61,1,0,0,0,1,4,3,0,0,0,1,3,1.0,0.0,0.0,0.0
191,3,54738,1,22,0,1,0,1,0,2,2,0,0,0,2,1,0.0,0.0,0.0,1.0
192,5,7723,2,53,0,1,0,0,1,4,5,1,0,0,1,3,1.0,0.0,0.0,0.0
193,7,57274,1,31,1,1,0,1,0,3,3,0,0,0,1,2,0.0,0.0,1.0,0.0
194,1,14311,1,40,1,0,0,0,1,3,2,1,0,0,2,1,1.0,0.0,0.0,0.0
195,5,25743,2,51,1,0,0,0,0,3,7,1,0,0,1,2,0.0,0.0,1.0,0.0
196,0,3372,2,56,0,1,0,0,0,5,5,0,1,1,3,3,0.0,0.0,0.0,1.0
197,6,57361,1,68,1,0,0,1,1,2,1,0,0,0,1,2,0.0,0.0,1.0,0.0
198,2,16150,1,84,0,0,1,0,0,4,3,0,1,0,1,3,0.0,0.0,1.0,0.0
199,5,22682,2,47,0,0,1,0,1,3,2,1,0,0,3,1,0.0,0.0,1.0,0.0
200,1,20531,3,42,1,0,0,0,1,4,2,1,0,0,2,3,0.0,0.0,0.0,1.0
201,0,11249,2,59,1,1,1,0,1,2,2,0,0,0,2,1,1.0,0.0,0.0,0.0
202,7,12044,2,34,0,1,0,0,0,4,2,1,0,0,1,2,0.0,0.0,1.0,0.0
203,1,35755,1,44,1,0,0,0,1,3,2,1,1,0,1,1,1.0,0.0,0.0,0.0
204,1,42819,3,42,0,1,0,0,1,4,3,0,0,0,1,3,0.0,0.0,1.0,0.0
205,3,31150,2,28,1,0,0,0,0,4,4,0,0,0,1,2,0.0,0.0,1.0,0.0
206,4,16123,1,64,1,0,0,0,1,4,3,0,0,0,3,3,1.0,0.0,0.0,0.0
207,5,39584,1,51,1,0,0,0,0,4,6,0,0,0,1,3,0.0,0.0,1.0,0.0
