,ID,0
476,23A6786N,3
477,23A7298Q,2
478,23AA386F,6
479,23AAB736,5
480,23B79A2L,2
481,2475932J,5
482,25B5677C,5
483,252A685T,1
484,252BAA36,0
485,25B5689V,2
486,25B5488Y,1
487,2438777R,4
488,243896A5,0
489,2444622N,6
490,2444A52W,5
491,245A6B7Z,7
492,24B329B6,3
493,24B3353Z,6
494,25B7B627,1
495,2375AA87,3
496,2395AA9G,2
497,24B28A6W,4
498,26B44345,3
499,26B46B2D,2
500,26B95A5A,1
501,26B965BK,5
502,26B9699Z,3
503,237ABA5Z,4
504,26A27725,1
505,26A2864U,8
506,26A2953G,5
507,26A2985E,1
508,24444696,1
509,27A5477V,0
510,27A555B2,6
511,27A5874J,5
512,27A5B35T,4
