ID,Year,Make,MakeSeries,Segment,4Region,9Region,Cluster,YNV_GLB_16,Not Consider Other Makes,Not Consider Other Segments,OVC_US_2C1_1,OVC_US_2C1_2,OVC_US_2C1_3,OVC_US_2C1_4,OVC_US_2C1_5,OVC_US_2C1_6,OVC_US_2C1_7,OVC_US_2C1_8,OVC_US_2C1_9,OVC_US_2C1_10,OVC_US_2C1_11,OVC_US_2C1_12,OVC_US_2C1_13,OVC_US_2C1_14,OVC_US_2C1_15,OVC_US_2C1_16,OVC_US_2C1_17,OVC_US_2C1_18,OVC_US_2C1_19,OVC_US_2C1_20,Cus_BrandExp,Advertising,Audio,Bluetooth,Camera,Comfort,Dealer,Disappointed,DQR,Economy,Engine,Exterior,Features,Handling,Heated Seats / Strg,Interior,Maintenance,Navigation,Performance,Price,Quietness,Ride,Roominess,Safety,Seats,Styling,Transmission,Trunk,Wheel,Had Exterior Problem,Had DEXP Problem,Had FCD Problem,Had AEN Problem,Had Seat Problem,Had HVAC Problem,Had INT Problem,Had ENG Problem,Had Problem,Had Severe Problem,Had Very Severe Problem,Taken to Dealer,Problem Fixed,APEAL_Index,EXT_Index,INT_Index,SS_Index,AEN_Index,Seats_Index,HVAC_Index,DD_Index,ENGTRN_Index,VDS_Index,FUEL_Index,APEAL_OSAT
B349557V,2014,Volkswagen,Volkswagen Golf,Compact Car,West,Mountain,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.713003502,0.492742993,0.606475092,0.740046656,0.735584365,0.739371826,0.806128946,0.948427379,0.926174049,0.773433768,0.888888889,1
B349559X,2014,Volkswagen,Volkswagen Golf,Compact Car,South,South Atlantic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0.507930301,0.602142651,0.599771088,0.540568762,0.501867633,0.455373426,0.508461957,0.603217456,0.689331067,0.483440545,0.879333333,0.555555556
B349575E,2014,Volkswagen,Volkswagen Jetta,Compact Car,Northeast,Middle Atlantic,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.6802526,0.42722989,0.613205765,0.757353921,0.766906071,0.777777778,0.788712205,0.755491118,0.888888889,0.576942306,1,0.888888889
B349578H,2014,Volkswagen,Volkswagen Jetta,Compact Car,West,Pacific,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.505727482,0.666666667,0.666666667,0.629682293,0.609854827,0.495638453,0.411596715,0.625504116,0.666666667,0.415458454,0.666666667,0.555555556
B349586Q,2014,Volkswagen,Volkswagen Jetta,Compact Car,Northeast,Middle Atlantic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85118747,0.888888889,0.888888889,0.888691402,0.888889901,0.869649298,0.888888889,0.888888889,0.888888889,0.888888889,0.828555556,0.888888889
B34958BK,2014,Volkswagen,Volkswagen Jetta,Compact Car,West,Pacific,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.642193542,0.777777778,0.754071407,0.777604977,0.714717449,0.772479026,0.729261815,0.841038118,0.552833606,0.764990168,0.555555556,0.777777778
B34959AU,2014,Volkswagen,Volkswagen Jetta,Compact Car,West,Pacific,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.481268947,0.445389078,0.48132591,0.666518551,0.590825658,0.666666667,0.47702548,0.587785666,0.666666667,0.666666667,0.555555556,0.555555556
B3495A8F,2014,Volkswagen,Volkswagen Jetta,Compact Car,Midwest,East North Central,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823812444,0.880620569,0.968141259,0.916207509,0.693640116,0.913217211,0.836550322,0.932217889,0.849092868,0.913341999,0.777777778,0.888888889
B3495B3K,2014,Volkswagen,Volkswagen Jetta,Compact Car,Northeast,Middle Atlantic,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0.535301473,0.566791136,0.53837606,0.683614752,0.441035529,0.654364436,0.566245513,0.621682276,0.668999767,0.560432846,0.879333333,0.555555556
B3495B9R,2014,Volkswagen,Volkswagen Jetta,Compact Car,Midwest,East North Central,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555930538,0.729190283,0.712678379,0.777649411,0.644451305,0.664645576,0.633818937,0.651868147,0.628392716,0.740992567,0.333333333,0.777777778
B3496345,2014,Volkswagen,Volkswagen Golf,Compact Car,South,West South Central,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0.711626258,0.888888889,0.693969397,0.760286603,0.799952207,0.888888889,0.317609539,0.731082447,0.888888889,0.835771978,0.666666667,0.888888889
B34963B2,2014,Volkswagen,Volkswagen Jetta,Compact Car,West,Pacific,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.542314185,0.592018404,0.529686302,0.618873584,0.609900487,0.724295652,0.458368059,0.577986646,0.691019787,0.532091235,0.828555556,0.666666667
B349646H,2014,Volkswagen,Volkswagen Golf,Compact Car,South,South Atlantic,6,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87249387,0.92292903,0.90264582,0.81309709,0.844110263,0.88647987,0.828560634,0.936250819,0.888888889,0.903698519,1,1
B349647@,2014,Volkswagen,Volkswagen Golf,Compact Car,West,Mountain,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0.604664543,0.666666667,0.866419975,0.543357032,0.437134953,0.750028558,0.620884311,0.705107267,0.698507927,0.496083725,1,0.777777778
B349649K,2014,Volkswagen,Volkswagen Jetta,Compact Car,South,South Atlantic,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0.325885123,0.389455669,0.433828272,0.646822928,0.542943001,0.425177184,0.154170973,0.415280694,0.426668444,0.375729094,0.615888889,0.333333333
B349653P,2014,Volkswagen,Volkswagen Jetta,Compact Car,West,Mountain,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0.977337829,1,1,0.999777827,0.927258307,0.932611817,1,0.97329156,1,0.98020198,1,1
B349656S,2014,Volkswagen,Volkswagen Jetta,Compact Car,Midwest,East North Central,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898519318,0.942432931,0.986487538,0.85445601,0.813546343,0.933568801,0.942638708,0.923440989,0.936628559,0.846715328,1,1
